date,title,abstract
2014-03-24,"GE Europe chief wants Britain in EU, Scotland to stay part of UK - FT","March 24 The chief of General Electric's  European business said the industrial conglomerate wanted Britain to stay in the European Union and Scotland to remain part of Britain, the Financial Times reported."
2014-03-26,GE to build $100-million jet engine plant in Indiana,"March 26 General Electric Co will start building a $100-million jet-engine plant in Indiana later this year, the company's aviation unit said on Wednesday, expanding production to meet demand for its new engine."
2014-03-28,Chile AES Gener brings in fund as partner on Guacolda power plant,SANTIAGO Chilean energy company AES Gener SA  said on Friday it was bringing in investment fund Global Infrastructure Partners (GIP) as a minority partner to run the Guacolda thermoelectric plant in the north of the Andean country.
2014-03-31,Group chides GE after study of U.S. corporate tax break lobbying,"WASHINGTON, March 31 General Electric Co  has lobbied more aggressively than any other corporation to preserve a tax loophole that lets multinationals shelter offshore financial profits from U.S. taxes, an activist group said on Monday."
2014-03-31,GE explores sale of GE Money Bank Nordics: sources,"LONDON/STOCKHOLM U.S. conglomerate General Electric Co  is exploring the sale of its GE Money Bank unit in the Nordic region, which could fetch up to 2 billion euros ($2.75 billion), as it retreats from the finance sector, sources close to the matter told Reuters."
2014-03-31,UPDATE 1-GE explores sale of GE Money Bank Nordics - sources,"LONDON/STOCKHOLM, March 31 U.S. conglomerate General Electric Co is exploring the sale of its GE Money Bank unit in the Nordic region, which could fetch up to 2 billion euros ($2.75 billion), as it retreats from the finance sector, sources close to the matter told Reuters."
2014-03-31,GE explores $2.75 bln sale of GE Money Bank Nordics - sources,"LONDON/STOCKHOLM, March 31 U.S. conglomerate General Electric is exploring the sale of its GE Money Bank unit in the Nordic region, which could fetch up to 2 billion euros ($2.75 billion), as it retreats from the finance sector, sources close to the matter told Reuters."
2014-04-01,"UPDATE 1-GE recalls hundreds of baby ""warmers"" in China over safety fears","SHANGHAI, April 1 A healthcare unit of General Electric Co has recalled hundreds of incubator-like infant ""warmers"" in China over safety concerns as Beijing tightens oversight of the country's fast-growing medical device sector."
2014-04-01,"GE recalls baby ""warmers"" in China over safety fears","SHANGHAI, April 1 A unit of General Electric Co  has recalled hundreds of infant ""warmers"" in China over safety concerns as Beijing tightens oversight of the fast-growing medical device sector."
2014-04-04,"UPDATE 2-Boeing, GE say get U.S. license to sell spare parts to Iran","WASHINGTON/PARIS, April 4 Boeing Co, the world's biggest airplane maker, and engine maker General Electric Co said on Friday they had received licenses from the U.S. Treasury Department to export certain spare parts for commercial aircraft to Iran under a temporary sanctions relief deal that began in January."
2014-04-04,GE says U.S. approved overhaul of 18 aircraft engines for Iran,WASHINGTON General Electric Co  on Friday said it had received permission from the U.S. government to overhaul 18 engines sold to Iran in the late 1970s under a temporary sanctions relief deal reached in January.
2014-04-04,GE says U.S. approved overhaul of 18 aircraft engines for Iran,"WASHINGTON, April 4 General Electric Co  on Friday said it had received permission from the U.S. government to overhaul 18 engines sold to Iran in the late 1970s under a temporary sanctions relief deal reached in January."
2014-04-04,Deals of the day- Mergers and acquisitions,"(Adds Lafarge, General Electric, Etihad Airways, Virgin, Credit Mutuel, GEA, Kenya sugar millers)"
2014-04-04,General Electric sees no room for deal to buy Ansaldo STS,"CERNOBBIO, Italy U.S. conglomerate General Electric Co  does not see room for a deal to buy rail signaling firm Ansaldo STS  from Italian defense group Finmeccanica , GE Europe President and CEO Nani Beccalli-Falco said on Friday."
2014-04-04,General Electric sees no room for deal to buy Ansaldo STS,"CERNOBBIO, Italy, April 4 U.S. conglomerate General Electric Co does not see room for a deal to buy rail signalling firm Ansaldo STS from Italian defence group Finmeccanica, GE Europe President and CEO Nani Beccalli-Falco said on Friday."
2014-04-07,Shares in Ansaldo STS drop as GE sees no room for deal,"MILAN, April 7 Shares in Italy's Ansaldo STS  were suspended limit-down after a fall of more than 9 percent in early trading on Monday after U.S. conglomerate General Electric pulled out from a race to buy the rail signalling company."
2014-04-10,GE to build back-office facility in Cincinnati,"April 10 General Electric Co will build a new facility to house its back-office functions in the Cincinnati area, the U.S. conglomerate said on Thursday, as it seeks to simplify its operations and cut costs."
2014-04-14,GE Capital seen ripe for more slimming after credit card IPO,"April 14 As General Electric Co starts spinning off its consumer credit card business, some on Wall Street are hoping that the U.S. industrial conglomerate will eventually slim down its GE Capital finance unit even further."
2014-04-15,UPDATE 1-GE's Immelt may exit before expected tenure ends - WSJ,"April 15 General Electric Co's Chief Executive Jeff Immelt may step down sooner than his expected 20-year tenure, the Wall Street Journal reported, citing people familiar with the company's thinking."
2014-04-15,UPDATE 1-Market Chatter-Corporate finance press digest,April 15 The following corporate finance-related stories were reported by media:
2014-04-15,GE CEO Immelt may step down before his 20-year tenure ends - WSJ,"April 15 General Electric Co's Chief Executive Jeff Immelt may step down sooner than his expected 20-year tenure, the Wall Street Journal reported, citing people familiar with the company's thinking."
2014-04-17,"US STOCKS-Earnings lift S&P; 500, Nasdaq; S&P;'s best week since July",* S&P; 500 scores biggest weekly percentage gain since July
2014-04-17,GLOBAL MARKETS-Global shares edge higher on U.S. data; dollar gains,* Dollar up as call to end Ukraine violence cuts safety bid
2014-04-17,"US STOCKS SNAPSHOT-S&P; 500, Nasdaq rise after strong results","NEW YORK, April 17 The major U.S. stock indexes ended a holiday-shortened week with mostly gains on Thursday, giving the S&P; 500 its biggest weekly advance since July as Morgan Stanley and General Electric rallied after strong results."
2014-04-17,GLOBAL MARKETS-Global shares edge higher on U.S. data; dollar gains,"* Russia, Ukraine, U.S. and EU in joint call to end violence"
2014-04-17,"GE industrial profit boost underscores strategy, shares up","General Electric Co  posted a 12 percent rise in overall industrial profits on Thursday, as strength in its businesses selling gas turbines, jet engines and oil industry equipment offset weakness in healthcare and transportation."
2014-04-17,"UPDATE 4-GE industrial profit boost underscores strategy, shares up","April 17 General Electric Co posted a 12 percent rise in overall industrial profits on Thursday, as strength in its businesses selling gas turbines, jet engines and oil industry equipment offset weakness in healthcare and transportation."
2014-04-17,European shares end higher on upbeat U.S. company results,"LONDON, April 17 European equities finished higher on Thursday after losing ground earlier in the session, with upbeat results from major U.S. companies like Morgan Stanley, Goldman Sachs and General Electric improving sentiment."
2014-04-17,European shares up on encouraging U.S. company results,* FTSEurofirst 300 gains 0.4 percent after falling earlier
2014-04-17,DIARY-U.S. MEETINGS/WEEK AHEAD,"THOMSON REUTERS, Apr 17,2014 - Corporate Meetings for US companies for Week ahead.         S&P; 500 Earnings - Weekly           S&P; 500 Earnings - Day Ahead        Non S&P; 500 - Weekly               Non S&P; 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        S&P; 500 Earnings - Monthly           Meetings - Day Ahead                Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Rese"
2014-04-23,UPDATE 1-GE in talks to buy France's Alstom - Bloomberg,"April 23 General Electric Co is in talks to buy French turbine and train maker Alstom SA for about $13 billion, Bloomberg reported, citing people with knowledge of the matter."
2014-04-23,GE in talks to buy France's Alstom - Bloomberg,"April 23 General Electric Co is in talks to buy French turbine and train maker Alstom SA for about $13 billion, Bloomberg reported, citing people with knowledge of the matter."
2014-04-23,GE names new lead independent director,"April 23 General Electric Co named John Brennan as its lead independent director, succeeding Ralph Larsen, who retires on Wednesday."
2014-04-23,"UPDATE 2-Safran hit by defence equipment delays, U.S. weather","* French group still interested in Avio Spazio   (Adds analyst, Boeing earnings, GE comparison)"
2014-04-24,UPDATE 5-Alstom shares jump on report of $13 bln GE bid,* GE may only want to own power assets -person familiar with the industry   (Adds context)
2014-04-24,CORRECTED-UPDATE 4-Alstom shares jump on report of $13 bln GE bid,"(Corrects paragraph 6 reference to ""rail arm"" from ""power arm"")"
2014-04-24,Alstom shares jump on report of GE takeover interest,PARIS Shares in Alstom jumped over 17 percent on Thursday after Bloomberg reported that General Electric  was in talks to buy the French turbine and train maker for about $13 billion.
2014-04-24,"Alstom shareholder Bouygues says backs strategy, no GE comment","PARIS, April 24 Alstom shareholder Bouygues said it supported the company's strategy but did not have control over it, after Bloomberg reported General Electric was in talks to buy Alstom for around $13 billion."
2014-04-25,UPDATE 4-GE in talks to buy Alstom's power arm -sources,"* French government says it's working on ""other solutions""   (Adds meeting details, context on regulatory history)"
2014-04-25,Deals of the day- Mergers and acquisitions,"(Adds Essar Energy, PSA Peugeot Citroen, Mercator, Mauser, Mylan, Deoleo)"
2014-04-25,Alstom board could decide on GE offer Sunday: report,"PARIS The board of French engineering group Alstom  will meet on Sunday to discuss a possible sale of its global power division to U.S. industrial products giant General Electric , French daily Le Figaro said on its website."
2014-04-25,Alstom board could decide on GE offer Sunday -report,"PARIS, April 25 The board of French engineering group Alstom will meet on Sunday to discuss a possible sale of its global power division to U.S. industrial products giant General Electric, French daily Le Figaro said on its website."
2014-04-25,UPDATE 1-GE's energy financing profits could double by 2020,"NEW YORK, April 25 General Electric Co  expects annual profit from energy investments to double to nearly $800 million by 2020, highlighting the conglomerate's desire to remain a financing powerhouse for industry even as it slims its credit card portfolio."
2014-04-25,GE in talks to buy Alstom's power arm: sources,"PARIS U.S. industrial products giant General Electric  is in talks to buy the global power division of struggling French engineering group Alstom  for more than $10 billion, sources familiar with the matter said on Friday."
2014-04-25,GE's energy financing profits could double by 2020,"NEW YORK General Electric Co  expects annual profit from energy investments to double to nearly $800 million by 2020, highlighting the conglomerate's desire to remain a financing powerhouse for industry even as it slims its credit card portfolio."
2014-04-25,GE's energy financing profits could double by 2020,"NEW YORK, April 25 General Electric Co  expects annual profit from energy investments to double to nearly $800 million by 2020, highlighting the conglomerate's desire to remain a financing powerhouse for industry even as it slims its credit card portfolio."
2014-04-25,Alstom CEO says in talks over industrial deal: union sources,"PARIS Alstom  CEO Patrick Kron told unions on Friday the group was in talks over an industrial deal but had not received any takeover offer from General Electric , union sources told Reuters."
2014-04-26,UPDATE 1-GE boss to meet French minister as Alstom deal progresses,* Montebourg expected to meet GE's CEO on Sunday - sources
2014-04-26,GE boss to meet French minister as Alstom deal progresses,* Montebourg expected to meet with GE CEO on Sunday - sources
2014-04-27,"French president, GE boss to meet over Alstom future","PARIS, April 28 President Francois Hollande and his Economy Minister Arnaud Montebourg are set to meet with General Electric Chief Executive Jeff Immelt on Monday to discuss the future of French engineering group Alstom, a presidential official said."
2014-04-27,Hollande to meet GE chief on Monday to discuss Alstom,"PARIS President Francois Hollande and his Economy Minister Arnaud Montebourg will meet General Electric chief executive Jeff Immelt on Monday to discuss the future of French engineering group Alstom, a presidential official told Reuters."
2014-04-27,CORRECTED-Hollande to meet GE chief on Monday to discuss Alstom,(Corrects spelling of GE chief's name to Immelt from Immet)
2014-04-27,UPDATE 4-Siemens and France weigh in as GE eyes Alstom deal,* French minister confirms GE wants to buy Alstom power arm
2014-04-27,French president gathers ministers to discuss Alstom's case,"PARIS French President Francois Hollande gathered ministers on Sunday evening to discuss the case of struggling engineering firm Alstom, with jobs, location of activities and energetic independence in mind, his office said in a statement."
2014-04-27,French president gathers ministers to discuss Alstom's case,"PARIS, April 27 French President Francois Hollande gathered ministers on Sunday evening to discuss the case of struggling engineering firm Alstom, with jobs, location of activities and energetic independence in mind, his office said in a statement."
2014-04-27,French government says it will block any hasty Alstom deal,PARIS France's Economy Minister Arnaud Montebourg confirmed for the first time on Sunday that both General Electric  and Siemens  were interested in engineering group Alstom  and said he would not allow any hasty decisions.
2014-04-27,French government says it will block any hasty Alstom deal,"PARIS, April 27 France's Economy Minister Arnaud Montebourg confirmed for the first time on Sunday that both General Electric and Siemens were interested in engineering group Alstom and said he would not allow any hasty decisions."
2014-04-27,CORRECTED-UPDATE 2-Siemens weighs in as GE prepares Alstom power deal,"(Corrects company name in 17th par to Alstom, from Siemens)"
2014-04-28,UPDATE 6-France meets Alstom bidders with pledge to protect jobs,"* President Hollande meets GE, Siemens bosses about proposed deal"
2014-04-28,Germany prefers Siemens tie-up with Alstom to GE deal - source,"BERLIN, April 28 The German government would rather see Siemens take over the power arm of its French rival Alstom than have it acquired by General Electric, a government source in Berlin told Reuters on Monday."
2014-04-29,UPDATE 6-Alstom accepts 10 bln euro GE bid for its energy unit,"* Talks not exclusive, Alstom can hold talks with Siemens"
2014-04-29,Alstom accepts GE offer for its energy unit: sources,"PARIS The board of French transport-to-turbines group Alstom  has accepted General Electric's  offer for its energy unit, two sources familiar with the situation told Reuters."
2014-04-29,Alstom accepts GE offer for its energy unit - sources,"PARIS, April 29 The board of French transport-to-turbines group Alstom has accepted General Electric's offer for its energy unit, two sources familiar with the situation told Reuters."
2014-04-29,Alstom board accepts 10 billion euro GE offer for energy unit-paper,"PARIS The board of French trains-to-turbines maker Alstom has accepted General Electric's  10 billion euro offer for its energy division, French daily Le Figaro said on its website."
2014-04-29,Alstom board accepts 10 bln euro GE offer for energy unit-paper,"PARIS, April 29 The board of French trains-to-turbines maker Alstom has accepted General Electric's  10 billion euro offer for its energy division, French daily Le Figaro said on its website."
2014-04-29,GE vows to boost French jobs with Alstom bid - letter,"PARIS General Electric  Chief Executive Jeffrey Immelt said in a letter to French President Francois Hollande that if GE were to buy the energy unit of Alstom, it would boost employment in France and locate global headquarters for several key businesses in the country."
2014-04-29,GE vows to boost French jobs with Alstom bid - letter,"PARIS, April 29 General Electric Chief Executive Jeffrey Immelt said in a letter to French President Francois Hollande that if GE were to buy the energy unit of Alstom, it would boost employment in France and locate global headquarters for several key businesses in the country."
2014-04-29,GE trumpets 40-year jet engine venture to bolster Alstom bid,"PARIS As General Electric  tries to convince French leaders to back its offer to rescue engineering firm Alstom , it hopes that three letters will convince them of its good will: CFM."
2014-04-29,"Whoever wins Alstom power assets, industry faces shakeout","PARIS General Electric's  bid for Alstom's  energy business will force a shakeout in the electrical engineering industry, regardless of whether it or a rival suitor succeeds in breaking up the struggling French group."
2014-04-30,GE eases ahead in race for Alstom power assets,PARIS Cash-strapped French engineering group Alstom said on Wednesday it would explore a $16.9 billion offer from General Electric for its energy arm while leaving the door open to a rival bid from Germany's Siemens. | Video
2014-04-30,GE CEO says there will be opportunities to modify Alstom bid,"PARIS General Electric said its effort to buy some activities of France's Alstom was just beginning and there will be opportunities to modify its bid, Chief Executive Jeff Immelt said on French television on Wednesday."
2014-04-30,GE CEO says there will be opportunities to modify Alstom bid,"PARIS, April 30 General Electric said its effort to buy some activities of France's Alstom was just beginning and there will be opportunities to modify its bid, Chief Executive Jeff Immelt said on French television on Wednesday."
2014-04-30,"UPDATE 3-GE says talks with France on Alstom productive, to boost jobs","NEW YORK, April 30 The head of General Electric  said on Wednesday talks with the French government on its offer for Alstom's energy assets had been ""productive"" and expressed confidence that the deal would go through despite a potential rival offer from Germany's Siemens."
2014-04-30,"GE says talks with France on Alstom productive, to boost jobs","NEW YORK The head of General Electric said on Wednesday talks with the French government on its offer for Alstom's energy assets had been ""productive"" and expressed confidence that the deal would go through despite a potential rival offer from Germany's Siemens."
2014-04-30,UPDATE 4-GE eases ahead in race for Alstom power assets,"* Alstom shares up close to 10 pct, top gainer on CAC 40     (Adds GE on funding, government, analyst comment, unions)"
2014-04-30,Update-Moody's Affirms General Electric Ratings Following Announced Alstom Asset Acquisition,For the full text of this story please click the following link:
2014-04-30,BRIEF-General Electric comments from Alstom slide presentation,April 30 General Electric Co :  * Says Alstom transaction effectively completes allocation for m&a; for 2014 and
2014-04-30,"GE says talks with France on Alstom productive, to boost jobs","NEW YORK The head of General Electric said on Wednesday talks with the French government on its offer for Alstom's energy assets had been ""productive"" and expressed confidence that the deal would go through despite a potential rival offer from Germany's Siemens."
2014-05-01,"Iran to buy 400 airliners if sanctions lifted, top official says","ANKARA Barred by sanctions from buying Western airliners since the 1970s, Iran has pent-up demand for 400 new planes, Tehran's top aviation official was reported as saying, offering potential billions to manufacturers such as Airbus and Boeing."
2014-05-01,"Iran to buy 400 airliners if sanctions lifted, top official says","ANKARA, May 1 Barred by sanctions from buying Western airliners since the 1970s, Iran has pent-up demand for 400 new planes, Tehran's top aviation official was reported as saying, offering potential billions to manufacturers such as Airbus and Boeing."
2014-05-02,GE nears deal to sell fuel dispenser unit: sources,"General Electric Co  is in advanced talks to sell its energy unit that makes fuel dispensers to First Reserve Corp, according to people familiar with the matter, in the latest example of a conglomerate selling an unloved business to a buyout firm."
2014-05-02,REFILE-GE nears deal to sell fuel dispenser unit -sources,"May 2 General Electric Co is in advanced talks to sell its energy unit that makes fuel dispensers to First Reserve Corp, according to people familiar with the matter, in the latest example of a conglomerate selling an unloved business to a buyout firm."
2014-05-04,Alstom battle to upstage Siemens chief's grand strategy launch,"* Culture clash, competition issues cloud Siemens-Alstom tie-up"
2014-05-05,UPDATE 2-France opposes current GE offer for Alstom assets,"* Govt says combination of GE, Alstom rail ops ""desirable"""
2014-05-05,France cannot back GE's current offer for Alstom assets- min,"PARIS, May 5 The French government cannot give its backing to General Electric's bid for Alstom's energy assets in its current form, the industry ministry said in a letter to GE CEO Jeff Immelt on Monday."
2014-05-05,RPT-Alstom battle to upstage Siemens chief's grand strategy launch,"* Culture clash, competition issues cloud Siemens-Alstom tie-up"
2014-05-05,GE makes $389 mln share tender offer for Alstom's India units,"NEW DELHI, May 5 General Electric Co on Monday made tender offers to buy shares worth up to $389 million in two of Alstom SA's India units to comply with local rules, following its $16.9 billion bid to buy the French group's energy unit."
2014-05-06,UPDATE 3-France's Hollande says GE must improve Alstom bid,"PARIS, May 6 French President Francois Hollande said General Electric's bid for Alstom's energy business is not acceptable as it stands, and the government's aim is to get better offers."
2014-05-07,General Electric sells Wayne fuel dispensing unit,"May 7 General Electric Co has agreed to sell its Wayne fuel dispenser business to private investment firm Riverstone Holdings LLC, the U.S. conglomerate said on Wednesday."
2014-05-07,Toshiba wants to buy Alstom power grid business from GE: Nikkei,"Toshiba Corp  will offer to buy Alstom's  power grid business for ""several hundred billion yen"" if General Electric Co  completes its planned purchase of Alstom's energy business, the Nikkei newspaper reported."
2014-05-07,Toshiba wants to buy Alstom power grid business from GE - Nikkei,"May 8 Toshiba Corp will offer to buy Alstom's power grid business for ""several hundred billion yen"" if General Electric Co completes its planned purchase of Alstom's energy business, the Nikkei newspaper reported."
2014-05-07,"Siemens chief unveils overhaul, won't be forced into Alstom bid",BERLIN German engineering giant Siemens  unveiled a long-awaited restructuring on Wednesday in a drive to catch up with more profitable competitors and said it would not be forced into a bidding war with GE  for the energy assets of French rival Alstom.
2014-05-07,"UPDATE 5-Siemens chief unveils overhaul, won't be forced into Alstom bid",* Operating profit falls short of consensus on energy charges
2014-05-07,Alstom makes case for GE deal as profit and orders drop,"PARIS French industrial engineer Alstom  posted a drop in orders and annual profit and scrapped its dividend on Wednesday, underscoring its case for a deal with U.S. conglomerate General Electric  to secure its future."
2014-05-07,UPDATE 2-Alstom makes case for GE deal as profit and orders drop,"* Margins up in transport, thermal but down in grid, wind   (Recasts with Alstom CEO comments, adds shares)"
2014-05-07,Alstom interested in GE's rail signaling business -CEO,"PARIS, May 7 French engineering group Alstom  has more interest in General Electric's rail signaling activities than its freight train business, Chief Executive Patrick Kron said on Wednesday."
2014-05-07,Siemens Q2 profit disappoints on energy charges,"BERLIN, May 7 German engineering giant Siemens  posted a weaker-than-expected 16 percent increase in operating profit on Wednesday, hit by charges in its power transmission business."
2014-05-08,UPDATE 2-GE says not in talks with Toshiba about Alstom grid unit,"May 8 General Electric, which wants to buy Alstom's energy business, is not in talks with Japanese conglomerate Toshiba Corp about the French company's power grid unit, a GE France spokesman said on Thursday."
2014-05-08,Ex-brokerage employees avoid prison in U.S. muni bid-rigging case,NEW YORK Two former employees of a California brokerage who became cooperating witnesses in a broad U.S. government investigation of bid-rigging in the $3.7 trillion municipal bond market avoided prison time at their sentencing Thursday.
2014-05-08,Ex-brokerage employees avoid prison in U.S. muni bid-rigging case,"NEW YORK, May 8 Two former employees of a California brokerage who became cooperating witnesses in a broad U.S. government investigation of bid-rigging in the $3.7 trillion municipal bond market avoided prison time at their sentencing Thursday."
2014-05-08,GE says not in talks with Toshiba about Alstom grid unit,"PARIS, May 8 General Electric, which wants to buy Alstom's energy businesses, is not in talks with Japanese conglomerate Toshiba Corp about the French company's power grid business, a GE France spokesman said on Thursday."
2014-05-08,REFILE- UPDATE 1-Toshiba sees record profit as other businesses offset nuclear slump,"(Corrects to add dropped words: 'to' help in para 2, 'the' nuclear plant in para 9)"
2014-05-09,UPDATE 1-France wants Areva to buy Alstom wind unit if GE wins bid-paper,"* Even together, the two would be small player in offshore   (Adds EWA data, industry background)"
2014-05-09,France wants Areva to buy Alstom wind unit if GE wins bid-paper,"PARIS, May 9 France wants state-controlled nuclear group Areva to take over Alstom's offshore wind turbine unit if General Electric's bid for Alstom succeeds, a French paper reported on Friday."
2014-05-09,Juncker says France shouldn't blame its woes on euro,"BERLIN France's economic woes are the result of poor policy choices at home and Paris should stop blaming its problems on the strength of the euro, Jean-Claude Juncker, the center-right candidate for European Commission president, told Reuters."
2014-05-14,GE executive says Alstom bid process going as expected,"NEW YORK General Electric Co  is ""kind of where we thought we would be"" in navigating the process of its $16.9 billion bid for the power turbine and grid business of France's Alstom , the president of GE's power unit said on Wednesday."
2014-05-14,GE exec says Alstom bid process going as expected,"NEW YORK, May 14 General Electric Co is ""kind of where we thought we would be"" in navigating the process of its $16.9 billion bid for the power turbine and grid business of France's Alstom, the president of GE's power unit said on Wednesday."
2014-05-14,UPDATE 1-French energy minister muddies waters over Alstom,"PARIS, May 14 France's energy minister muddied the waters over the future of engineering group Alstom  on Wednesday, eventually toeing the government line on the need to examine a proposal from Siemens after first appearing to favour a tie-up with General Electric."
2014-05-14,French energy minister defends GE offer for Alstom,"PARIS, May 14 The offer made by U.S. conglomerate General Electric to take over Alstom's  power arm is ""a very good opportunity"" for the engineering group, French Energy Minister Segolene Royal told weekly magazine Paris Match."
2014-05-15,France grabs for power over Alstom future with new takeover law,"PARIS The French government gave itself the power to block foreign corporate takeovers in ""strategic"" sectors on Thursday, throwing up a potential roadblock to General Electric's  $16.9 billion bid for Alstom's  energy assets."
2014-05-15,UPDATE 5-France grabs for power over Alstom future with new takeover law,* Decree allows block on foreign takeovers in some sectors
2014-05-15,France grabs for power over Alstom future with new takeover law,"PARIS The French government gave itself the power to block foreign corporate takeovers in ""strategic"" sectors on Thursday, throwing up a potential roadblock to General Electric's  $16.9 billion bid for Alstom's  energy assets."
2014-05-15,Long-running SEC insider trading case heads to trial,"NEW YORK Days after jurors handed the U.S. Securities and Exchange Commission a win in a $550 million fraud case, it is looking to secure a victory in a long-running insider trading case against a hedge fund manager."
2014-05-19,"NY fund manager made insider trading 'jackpot,' SEC tells jurors","NEW YORK, May 19 A lawyer for the U.S. Securities and Exchange Commission told jurors Monday a New York fund manager had made a ""jackpot"" $1.3 million trading on inside information days before a 2001 merger."
2014-05-19,Hollande urges government to seek better Alstom  offers,"PARIS French President Francois Hollande told key ministers on Monday to keep seeking better offers from potential suitors of power and train-making firm Alstom , an official at his office said."
2014-05-19,UPDATE 2-Hollande urges govt to seek better Alstom offers,"PARIS, May 19 French President Francois Hollande told key ministers on Monday to keep seeking better offers from potential suitors of power and train-making firm Alstom , an official at his office said."
2014-05-20,Siemens asks Alstom for more info ahead of likely offer: minister,"PARIS Germany's Siemens  wrote to Alstom  on Tuesday asking for more information ahead of a likely offer for the French company's power business, French Economy Minister Arnaud Montebourg said."
2014-05-21,CORRECTED-Alstom will not give more bid info to Siemens than to GE - source,"(Corrects headline and first paragraph to make clear that Alstom would not give Siemens any more information than it has disclosed to GE, also corrects sourcing)"
2014-05-21,Deals of the day- Mergers and acquisitions,"(Adds Element Financial, PSP, AstraZeneca, Alstom, General Electric, Magnetar, Flipkart, Telus, Talvivaara; Updates Rio Alto)"
2014-05-21,GE CEO Immelt says still expects to close Alstom deal,"General Electric Co  Chief Executive Jeff Immelt said on Wednesday that GE is still going to ""work constructively"" with the French government on its bid for the power business of Alstom  and that he expects the deal to close."
2014-05-21,UPDATE 1-GE CEO Immelt says still expects to close Alstom deal,"May 21 General Electric Co Chief Executive Jeff Immelt said on Wednesday that GE is still going to ""work constructively"" with the French government on its bid for the power business of Alstom and that he expects the deal to close."
2014-05-21,"BRIEF-General Electric CEO says Alstom is a deal ""we expect to close""","May 21 General Electric Co :  * Sees North American retail finance IPO in Q3  * CEO says Alstom is a deal ""we expect to close""  * CEO says GE is going to continue ""to work constructively"" with the French"
2014-05-21,GE CEO Immelt says expects Alstom deal to close,"General Electric Co Chief Executive Jeff Immelt said on Wednesday that GE is still going to ""work constructively"" with the French government regarding its offer to acquire the power business of France's Alstom and that he expects the deal to close."
2014-05-21,GE CEO Immelt says expects Alstom deal to close,"May 21 General Electric Co Chief Executive Jeff Immelt said on Wednesday that GE is still going to ""work constructively"" with the French government regarding its offer to acquire the power business of France's Alstom  and that he expects the deal to close."
2014-05-21,Siemens asks Alstom for more info ahead of likely offer: minister,(This May 20 story is corrected to show offer would be to swap all not part of rail business and removes reference to cash in third paragraph)
2014-05-22,UPDATE 2-GE agrees to extend deadline on Alstom bid to June 23,"May 22 General Electric Co has agreed to extend its $16.9 billion bid for the power arm of France's Alstom until  June 23 from June 2 at the request of the French government, the U.S. company said on Thursday."
2014-05-22,GE agrees to extend deadline on Alstom bid to June 23,"May 22 General Electric Co has agreed to extend its $16.9 billion bid for the power arm of France's Alstom until  June 23 from June 2 at the request of the French government, the U.S. company said on Thursday."
