date,title,abstract
2014-04-02,Ian Gilday leaving Goldman Sachs for Morgan Stanley - sources,"LONDON, April 2 (IFR) - Leveraged finance veteran Ian Gilday is departing Goldman Sachs to take up a role at rival bank Morgan Stanley, according to multiple market sources."
2014-04-02,"UPDATE 2-Europe fines Goldman Sachs, cable firms over cartel","* Shares in Prysmian rise on lower than expected fine   (Adds Goldman Sachs, Prysmian, EU antitrust chief comments)"
2014-04-02,"EU regulators fine Goldman Sachs, Prysmian for cable cartel","BRUSSELS Investment bank Goldman Sachs, the world's top cablemaker Prysmian, Nexans and eight cable firms were fined a total of 302 million euros ($416 million) by EU antitrust regulators on Wednesday for running a cartel."
2014-04-02,"UPDATE 1-Energy Future plan to wipe out KKR, TPG, Goldman investments -BBG","April 2 A plan being discussed to reorganize power company Energy Future Holdings Corp will all but wipe out the investments of owners KKR & Co, TPG Capital  and Goldman Sachs Capital Partners, Bloomberg reported."
2014-04-02,"REFILE-Energy Future plan may wipe out KKR, TPG, Goldman unit - Bloomberg","April 2 A plan being discussed to reorganize Energy Future Holdings Corp will all but wipe out owners KKR & Co, TPG Capital and Goldman Sachs Capital Partners, Bloomberg reported, citing three people with direct knowledge of the negotiations."
2014-04-02,Goldman to sell designated market-maker unit to IMC: reports,"Goldman Sachs Group Inc is in the process of selling its ""designated market-maker"" unit, people familiar with the matter told the Financial Times on Tuesday."
2014-04-04,Goldman board lifts target for Blankfein to redeem future awards,"NEW YORK, April 4 Goldman Sachs Group Inc's  board lifted a key performance target that the bank must reach for Chairman and Chief Executive Lloyd Blankfein to redeem a new long-term incentive stock award, according to a proxy filing on Friday."
2014-04-07,Greenhill hires Pereira from Goldman to beef up Brazil unit,"SAO PAULO, April 7 New York-based investment bank Greenhill & Co Inc on Monday said it hired former Goldman Sachs Group Inc dealmaker Rafael Pereira, expanding its mergers and acquisitions unit in Brazil."
2014-04-07,Goldman Sachs prices Sports Direct shares at 850 pence each,"LONDON, April 7 Goldman Sachs has priced its accelerated bookbuild of shares in Sports Direct International at 850 pence each, a source familiar with the matter said on Monday, valuing the placement at 212.5 million pounds ($352.75 million)."
2014-04-07,Thirteen banks to fight EU derivatives charges at May hearing - sources,"BRUSSELS, April 7 Thirteen investment banks, including Citigroup, Goldman Sachs and Deutsche Bank, will fight EU charges of blocking exchanges' access to the credit derivatives market at a hearing next month, three people familiar with the matter said on Monday."
2014-04-07,Goldman Sachs to sell up to $361.3 mln worth of Sports Direct shares,"LONDON, April 7 Goldman Sachs is looking to sell up to 217.5 million pounds ($361.3 million) of shares in Sports Direct International."
2014-04-07,UPDATE 1-Sweden's Kinnevik names ex-Goldman banker Grabau as CEO,"* Chairwoman says Grabau will help support digital growth   (Adds quotes, details)"
2014-04-08,"CVC set to sell ink maker, Flint, to Koch, Goldman: sources","FRANKFURT Private equity firm CVC Capital Partners Ltd  is in advanced talks to sell its printing-ink maker, Flint Group, to Koch Industries  and Goldman Sachs Group's  private equity arm, two people familiar with the transaction said on Tuesday."
2014-04-08,"UPDATE 1-CVC set to sell ink maker, Flint, to Koch, Goldman -sources","FRANKFURT, April 8 Private equity firm CVC Capital Partners Ltd is in advanced talks to sell its printing-ink maker, Flint Group, to Koch Industries  and Goldman Sachs Group's private equity arm, two people familiar with the transaction said on Tuesday."
2014-04-08,"CVC set to sell ink maker Flint to Koch, Goldman - sources","FRANKFURT, April 8 Private equity firm CVC is in advanced talks to sell its printing-ink maker Flint Group to Koch Industries and Goldman Sachs, two people familiar with the transaction said on Tuesday."
2014-04-09,UPDATE 1-Goldman Sachs committed to Brazil operations -COO Cohn,"(Recasts to add Goldman's downsizing in Brazil, Cohn's comments)"
2014-04-09,"Goldman Sachs committed to Brazil operations, COO Cohn says","BRASILIA Goldman Sachs Group Inc  is committed to maintaining its investment-banking operations in Brazil as part of its global footprint, Chief Operating Officer Gary Cohn said on Wednesday."
2014-04-09,"Goldman Sachs committed to Brazil operations, COO Cohn says","BRASILIA, April 9 Goldman Sachs Group Inc  is committed to maintaining its investment-banking operations in Brazil as part of its global footprint, Chief Operating Officer Gary Cohn said on Wednesday."
2014-04-09,RPT-Market Chatter-Corporate finance press digest,April 9 The following corporate finance-related stories were reported by media:
2014-04-09,Market Chatter-Corporate finance press digest,April 9 The following corporate finance-related stories were reported by media:
2014-04-09,"Goldman, Warburg advance in China Huarong sale: sources","HONG KONG Goldman Sachs Group  and U.S. private equity firm Warburg Pincus are among the companies that have advanced to the next round of the sale process to buy a stake in China Huarong Asset Management Co Ltd, people familiar with the matter told Reuters."
2014-04-09,"UPDATE 1-Goldman, Warburg advance in China Huarong sale -sources","* Apax Partners, Khazanah Nasional, Deutsche Bank also advance in bidding -sources"
2014-04-09,"Goldman, Warburg advance in China Huarong sale-sources","HONG KONG, April 9 Goldman Sachs Group  and U.S. private equity firm Warburg Pincus are among the companies that have advanced to the next round of the sale process to buy a stake in China Huarong Asset Management Co Ltd, people familiar with the matter told Reuters."
2014-04-09,Goldman Sachs may close dark pool Sigma X: WSJ,"Goldman Sachs Group Inc  could shut down Sigma X, one of the world's largest private stock-trading venues, the Wall Street Journal reported on Tuesday, citing sources."
2014-04-10,"UPDATE 2-Koch, Goldman agree to buy ink maker Flint in $3 bln deal",* Deal values Flint at more than 2.2 billion euros - sources
2014-04-10,"Koch, Goldman agree to buy ink maker Flint in $3 billion deal","FRANKFURT Koch Industries  and Goldman Sachs's  private equity arm are acquiring the world's leading maker of printing-inks Flint from buyout group CVC , the four companies said in a joint statement on Thursday."
2014-04-10,"Koch, Goldman agree to buy ink maker Flint from CVC","FRANKFURT, April 10 Koch Industries  and Goldman Sachs's private equity arm are acquiring European printing-ink maker Flint from buyout group CVC , the companies said in a joint statement on Thursday."
2014-04-10,"Chinese pork giant WH Group, shareholders plan $5.3 billion IPO in HK","HONG KONG Chinese pork giant WH Group Ltd launched on Thursday a Hong Kong initial public offering of up to $5.3 billion, the second-biggest ever IPO by a food and beverage company."
2014-04-11,"First Choice Emergency hires Goldman, Deutsche for IPO -sources","NEW YORK, April 11 First Choice Emergency Room has tapped Goldman Sachs Group Inc and Deutsche Bank AG  to prepare an initial public offering that could come in the second quarter of this year, people familiar with the matter said on Friday."
2014-04-14,"Blackstone, Goldman Sachs to buy KKR's Ipreo","NEW YORK, April 14 Private equity firm Blackstone Group LP and Goldman Sachs Group Inc's  buyout arm said on Monday they have agreed to acquire capital markets data and software provider Ipreo Holdings LLC from another buyout firm, KKR & Co LP."
2014-04-14,UPDATE 1-National Bank of Greece moves ahead with share sale plan,* Goldman and Morgan Stanley hired to manage sale -sources
2014-04-14,"Greece's NBG hires Goldman, Morgan Stanley to manage share offering-source","ATHENS, April 14 Greece's largest lender National Bank has picked Goldman Sachs and Morgan Stanley as global coordinators for a planned equity offering to plug its 2.18 billion euro capital shortfall, a senior banker familiar with the issue told Reuters on Monday on condition of anonymity."
2014-04-14,Goldman dodges a shareholder battle that dogs rivals,"NEW YORK When Goldman Sachs Group Inc filed its shareholder proxy earlier this month, it was free of a proposal that has become increasingly popular among corporate governance activists: a demand for more disclosure about lobbying."
2014-04-14,"KKR to sell Ipreo to Goldman Sachs, Blackstone for $975 mln - FT","April 14 Blackstone and Goldman Sachs'  investment arm are set to buy Ipreo from KKR in a private equity secondary deal that values the data company at $975 million, the Financial Times reported, citing people familiar with the matter."
2014-04-16,Goldman Sachs plans to jump-start stock-trading business - WSJ,"April 16 Goldman Sachs is planning to jump-start its stock-trading business after top clients such as Fidelity Investments and BlackRock Inc voiced concerns about the way Goldman and other firms trade stocks, the Wall Street Journal reported, citing people familiar with the matter."
2014-04-17,UPDATE 1-Ex-Goldman director Gupta starts prison term on June 17,"NEW YORK, April 17 Former Goldman Sachs Group Inc director Rajat Gupta is expected to begin his two-year prison term on June 17 for insider trading."
2014-04-17,"Amid frigid winter, Goldman, Morgan Stanley see commodity gains","LONDON/NEW YORK Goldman Sachs  and Morgan Stanley  both cited stronger commodities trading as a bright spot in the first quarter, aided in part by extraordinary volatility caused by the coldest U.S. winter in three decades."
2014-04-17,"UPDATE 2-Amid frigid winter, Goldman, Morgan Stanley see commodity gains","* Morgan Stanley says ""strong performance"" bolstered FICC"
2014-04-17,Ex-Goldman director Gupta to surrender June 17 in insider case,"NEW YORK, April 17 Former Goldman Sachs Group Inc director Rajat Gupta is expected to begin his two-year prison term on June 17 for insider trading."
2014-04-17,"WRAPUP 1-For Goldman Sachs and Morgan Stanley, boring is beautiful","April 17 Investment banks Morgan Stanley  and Goldman Sachs Group Inc posted better-than-expected quarterly earnings on Thursday, helped by gains in merger advisory and stock underwriting."
2014-04-17,BRIEF-Goldman CFO declines to give return-on-equity target,"NEW YORK, April 17 Goldman Sachs Group Inc  chief financial officer Harvey Schwartz said the following on a Thursday conference call with analysts:"
2014-04-17,Goldman Sachs profit falls 11 percent but beats estimates,"Goldman Sachs Group Inc reported an 11 percent drop in quarterly profit as client activity remained constrained and fixed-income revenue shrank, but both earnings and revenue beat market estimates and the Wall Street bank's shares rose."
2014-04-17,"Goldman, Morgan report strong commodity results as rivals exit","* Morgan Stanley says ""strong performance"" bolstered FICC"
2014-04-17,UPDATE 2-Goldman Sachs profit falls 11 pct but beats estimates,"April 17 Goldman Sachs Group Inc reported an 11 percent drop in quarterly profit as client activity remained constrained and fixed-income revenue shrank, but both earnings and revenue beat market estimates and the Wall Street bank's shares rose."
2014-04-21,UPDATE 3-AstraZeneca cancer pipeline seen as draw for Pfizer,"LONDON, April 21 Pfizer Inc may come back to bid for British drug company AstraZeneca Plc  after its reported 60 billion pound ($101 billion) takeover approach was rejected, since a deal could make sense for the U.S. pharmaceuticals giant as it seeks to build up its cancer franchise."
2014-04-21,Bankers win friends again in Europe with lure of easy money,BRUSSELS Jacques de Larosiere says he is an isolated and modest man. Yet the 84-year-old former head of the International Monetary Fund is one of the most influential voices in European and global finance.
2014-04-21,Bankers win friends again in Europe with lure of easy money,* Momentum builds for relaunch of securitisation in Europe
2014-04-22,CORRECTED-Goldman buys Westpeak in drive for 'smart beta' assets,(Corrects executive's title in fourth paragraph from head of quantitative investment strategies to head of customized and tax efficient beta businesses)
2014-04-22,UPDATE 4-Novartis and GSK trade assets as pharma industry reshapes,"* Deals, plus talk of Pfizer-Astra deal, lift sector shares   (Adds details on Lilly animal health unit, updates share movement)"
2014-04-22,UPDATE 2-Barclays joins retreat from commodities as new rules bite,* Retreat means 3 of top 5 commodities banks have pulled back
2014-04-22,Property gains drove 2012-13 profits for Malaysia state investor 1MDB-accounts,* Fund last week reported FY net 778 mln ringgit vs 44.7 mln
2014-04-22,RPT-Bankers win friends again in Europe with lure of easy money,* Momentum builds for relaunch of securitisation in Europe
2014-04-23,NY Fed wins dismissal of lawsuit by examiner who faulted Goldman,* Carmen Segarra denied whistleblower protection over firing
2014-04-23,"UPDATE 1-Goldman, JPMorgan seek dismissal of aluminum price-fixing lawsuits","(Adds comments from plaintiffs' lawyer, paragraph 4-5 and 10)"
2014-04-23,"Goldman, JPMorgan seek dismissal of aluminum price-fixing lawsuits","NEW YORK, April 23 Goldman Sachs Group Inc , JPMorgan Chase & Co, the London Metal Exchange and warehouse operators want a judge to throw out lawsuits saying that from May 2009 they conspired to reduce the supply and increase the price of aluminum."
2014-04-23,Insurer Saga could announce $5 billion London listing next week,"LONDON British over-50s insurer Saga is planning to announce its intention to float next week in a London stock market debut that could value the company at 3 billion pounds ($5.1 billion), two sources familiar with the matter said on Wednesday."
2014-04-23,REFILE--Goldman buys Westpeak in drive for 'smart beta' assets,"(Changes ""fund"" to ""funds"" in second paragraph; removes the word ""apart"" from third paragraph)"
2014-04-23,Goldman loses four Asia prime brokerage execs to rivals- sources,"HONG KONG At least four mid-level executives are leaving Goldman Sachs Group's  Asia prime brokerage unit to join rival banks, people familiar with the matter said, just as the regional hedge fund industry is starting to pick up."
2014-04-23,Goldman loses four Asia prime brokerage execs to rivals- sources,"HONG KONG, April 23 At least four mid-level executives are leaving Goldman Sachs Group's Asia prime brokerage unit to join rival banks, people familiar with the matter said, just as the regional hedge fund industry is starting to pick up."
2014-04-24,UPDATE 1-Elizabeth Arden hires Goldman to explore sale -sources,"NEW YORK, April 24 Elizabeth Arden Inc  has hired Goldman Sachs Group to explore a sale and reached out to a small group of potential buyers, according to people familiar with the matter."
2014-04-24,Elizabeth Arden hires Goldman to explore sale-sources,"NEW YORK, April 24 Elizabeth Arden Inc  has hired Goldman Sachs Group to explore a sale and reached out to a small group of potential buyers, according to people familiar with the matter."
2014-04-25,Worldwide M&A; activity tops $1 trillion so far this year,"LONDON The value of worldwide mergers and acquisitions announced so far this year has topped $1 trillion, passing that level for only the third time this early in the year since records began in 1980, weekly Thomson Reuters data showed on Friday."
2014-04-25,UPDATE 1-Worldwide M&A; activity tops $1 trillion so far this year,"* Goldman Sachs tops M&A; league table   (Adds background, details, quotes from bankers)"
2014-04-25,Worldwide M&A; activity tops $1 trillion so far this year,"LONDON, April 25 The value of worldwide mergers and acquisitions announced so far this year has topped $1 trillion, only the third time deal values have surpassed this mark since records began in 1980, weekly Thomson Reuters data showed on Friday."
2014-04-28,"UPDATE 4-BofA suspends buyback, div increase after capital error","(Recasts throughout, adds analyst comments, background, updates stock price)"
2014-04-29,Chinese pork giant WH Group pulls IPO due to weak demand: sources,"HONG KONG China's WH Group Ltd, the world's biggest pork company, has postponed its planned Hong Kong initial public offering (IPO) due to weak demand for the deal even after it cut the offer size by two-thirds, sources said on Tuesday."
2014-04-30,UPDATE 3-Nomura profit falls as 'Abenomics' euphoria fades,"* Q4 net profit at 61.3 bln yen, beats 41 bln yen analyst view"
2014-04-30,Nomura profit falls as 'Abenomics' euphoria fades,"TOKYO Nomura Holdings , Japan's biggest investment banking and brokerage group, reported its first profit decline in seven quarters as waning enthusiasm over Prime Minister Shinzo Abe's economic stimulus policies brought down stock trading volumes."
2014-05-01,Nomura profit falls as 'Abenomics' euphoria fades,"TOKYO Nomura Holdings , Japan's biggest investment banking and brokerage group, reported its first profit decline in seven quarters as waning enthusiasm over Prime Minister Shinzo Abe's economic stimulus policies brought down stock trading volumes."
2014-05-06,Goldman Sachs extends loan to Steven A. Cohen,"NEW YORK Goldman Sachs Group Inc is still doing business with Steven A. Cohen and extended a loan to the billionaire after his firm, SAC Capital Advisors, pleaded guilty to insider trading."
2014-05-06,Goldman Sachs extends loan to Steven A. Cohen,"NEW YORK, May 6 Goldman Sachs Group Inc  is still doing business with Steven A. Cohen and extended a loan to the billionaire after his firm, SAC Capital Advisors, pleaded guilty to insider trading."
2014-05-06,Goldman bucks international trend with investment in Russian property firm,"MOSCOW, May 6 U.S. bank Goldman Sachs has invested $100 million in a Russian real estate firm, bucking the trend of international investors draining money from the country as the Ukraine crisis escalates."
2014-05-07,"REFILE--Commodity funds down in 1st qtr, even as energy markets rally",(Removes stray characters in headline. No changes to text)
2014-05-07,UPDATE 1-German online retailer Zalando picks banks for Q3 IPO,"* Credit Suisse, Morgan Stanley, Goldman Sachs mandated - sources"
2014-05-07,Ex-Goldman trader Pierre-Henri Flamand joins Man Group,"LONDON Former head of proprietary trading at Goldman Sachs Pierre-Henri Flamand has joined listed UK hedge fund Man Group as a senior portfolio manager, the company said on Wednesday."
2014-05-07,Goldman Sachs names Mahoney new head for financials in Asia Pacific,"HONG KONG, May 7 Goldman Sachs will relocate John Mahoney to Hong Kong to become head of its financial institutions unit in the Asia Pacific excluding Japan, a spokeswoman for the U.S. investment bank said on Wednesday."
2014-05-07,Ex-Goldman trader Pierre-Henri Flamand joins Man Group,"LONDON, May 7 Former head of proprietary trading at Goldman Sachs Pierre-Henri Flamand has joined listed UK hedge fund Man Group as a senior portfolio manager, the company said on Wednesday."
2014-05-09,Goldman says its overseas hiring practices being investigated,May 9 Goldman Sachs Group Inc disclosed on Friday that it was being investigated over its hiring practices outside the United States.
2014-05-09,Mitsubishi UFJ may bid for BNY Mellon's Trust Unit: Bloomberg,"Mitsubishi UFJ Financial Group Inc , Japan's biggest lender, is considering bidding for the corporate trust arm of Bank of New York Mellon Corp , Bloomberg reported on Friday, citing unidentified people with knowledge of the matter."
2014-05-12,"UPDATE 1-Glencore, Goldman warehouses have longest aluminium queues-LME report",* Longest queue over 2 yrs in aluminium at Pacorini in Vlissingen
2014-05-12,UPDATE 1-Mercuria hires ex-Goldman executive to run trading,* Move comes as Mercuria closing purchase of JPM's business
2014-05-12,Mercuria hires ex-Goldman executive to run trading,"LONDON, May 12 Fast growing Swiss trading house Mercuria has hired a former top executive from Goldman Sachs  to run its global commodities trading, as it expands further into the territory abandoned by many top Wall Street lenders under tighter regulatory scrutiny."
2014-05-13,UPDATE 1-UK Stocks-Factors to watch on May 13,"LONDON, May 13 Britain's FTSE 100 June futures contract  rose 0.3 percent by 0625 GMT, with the cash market indicated up by 0.4 percent, on Tuesday. For more on the factors affecting European stocks, please click on"
2014-05-13,UK Stocks-Factors to watch on May 13,"LONDON, May 13 Britain's FTSE 100 index is seen opening up by 24 to 25 points, or 0.4 percent higher, on Tuesday, according to financial bookmakers. For more on the factors affecting European stocks, please click on"
2014-05-14,UPDATE 1-India hedge fund backed by Goldman exec hits $500 mln in assets,"HONG KONG, May 14 Steadview, an India-focused hedge fund seeded by Goldman Sachs (Asia) chairman Mark Schwartz, has made 12 times the returns of peers with bets on consumer and tech stocks, helping the fund grow its assets to $500 million in nearly five years."
2014-05-14,CORRECTED-India hedge fund backed by ex-Goldman exec hits $500 mln in assets,(Corrects first paragraph to say fund growth achieved in five years)
2014-05-16,Goldman Sachs shareholders approve pay plan for top executives,"IRVING, Texas, May 16 Goldman Sachs  shareholders voted to approve management's executive compensation plan."
2014-05-19,Deutsche Bank chairman leads battle for the bulge bracket,"FRANKFURT, May 19 Paul Achleitner, the chairman of Deutsche Bank, believes Europe needs a global investment bank to support the region's companies that can measure up to rivals in the United States."
2014-05-20,CD&R; in advanced talks to buy Healogics for about $1 bln -sources,"NEW YORK, May 20 Clayton, Dubilier & Rice LLC is in advanced talks to acquire wound care company Healogics Inc from private equity peer Metalmark Capital Holdings LLC for around $1 billion, according to people familiar with the matter."
2014-05-20,Goldman confirms formal sale of Metro metals warehousing unit,"NEW YORK, May 20 Goldman Sachs has begun a formal process to sell the metals warehousing business it purchased four years ago, a spokesman said on Tuesday, confirming an earlier Reuters report."
2014-05-20,RPT-Deutsche Bank chairman leads battle for the bulge bracket,* Deutsche aims to remain a global investment bank player
2014-05-21,U.S. mortgage collectors gag homeowners in loan deals,Joseph and Neidin Henard thought they had finally fixed the mortgage that was crushing them. | Video
2014-05-22,UPDATE 1-Goldman to sell designated market-maker unit to IMC,"May 22 Goldman Sachs Group Inc will sell its rights to operate as a designated market maker in more than 600 New York Stock Exchange-listed stocks to Dutch high-speed trading firm IMC Financial Markets, IMC and NYSE said."
2014-05-22,"S.Korea's Samsung SDS picks Goldman, JPM to advise listing this year-sources","SEOUL, May 22 Samsung SDS Co Ltd, the IT services affiliate of South Korea's biggest business conglomerate Samsung Group, chose Goldman Sachs , JPMorgan and Korea Investment & Securities  as advisers for its share listing, two sources with knowledge of the matter said on Thursday."
2014-05-22,UPDATE 1-Market Chatter-Corporate finance press digest,May 22 The following corporate finance-related stories were reported by media:
2014-05-22,PRESS DIGEST- New York Times business news - May 22,May 22 The following are the top stories on the New York Times business pages. Reuters has not verified these stories and does not vouch for their accuracy.
2014-05-22,Market Chatter- Corporate finance press digest,May 22 The following corporate finance-related stories were reported by media:
2014-05-22,Goldman Sachs to sell designated market-maker unit to IMC -WSJ,"May 22 IMC Financial Markets has agreed to acquire Goldman Sachs Group Inc 's rights to operate as a designated market maker in more than 600 NYSE-listed stocks, the Wall Street Journal reported on Wednesday."
2014-05-24,"UPDATE 1-In new warehousing suit, Goldman, JPMorgan sued over zinc","NEW YORK, May 23 Wall Street banks, big metal merchants and the London Metal Exchange face a lawsuit alleging they have artificially inflated  zinc prices, expanding a high-profile legal case that has until now centered on the larger aluminum market."
2014-05-24,"Goldman, JPMorgan sued over zinc prices","NEW YORK, May 23 A lawsuit filed on Friday alleges that Goldman Sachs Group Inc, JPMorgan Chase & Co , the London Metal Exchange and metal warehouse operators have conspired since 2010 to manipulate the price of zinc in the United States."
2014-05-27,UPDATE 1-Ex-Goldman trader Tourre won't appeal SEC fraud case verdict,"(New throughout, adds background on case, more on Tourre's announcement)"
2014-05-27,Ex-Goldman trader Tourre says won't appeal SEC case,"TeNEW YORK, May 27 Former Goldman Sachs Group Inc trader Fabrice Tourre said Tuesday he would not appeal an order requiring he pay more than $825,000 after a jury found him liable for defrauding investors in a failed mortgage deal."
2014-05-27,New Issue-Goldman Sachs prices 750 mln euro 2026 bond,"Lead Manager(s)         Goldman Sachs, IMI, BNP Paribas, CMZ, CA-CIB, Danske,"
2014-05-27,"RPT-UPDATE 1-In new warehousing suit, Goldman, JPMorgan sued over zinc","NEW YORK, May 23 Wall Street banks, big metal merchants and the London Metal Exchange face a lawsuit alleging they have artificially inflated  zinc prices, expanding a high-profile legal case that has until now centered on the larger aluminum market."
2014-05-28,Goldman has cut bond trading staff by 10 percent since 2010: COO,"NEW YORK Goldman Sachs Group Inc has cut fixed-income trading staff by 10 percent since 2010 to reduce costs, President and Chief Operating Officer Gary Cohn said on Wednesday."
